President,type,score,party,,,,,,
Woodrow Wilson,negative       ,0.03301877,Democratic,,,,,,
Woodrow Wilson,positive         ,0.061291392,Democratic,,,,,,
Andrew Jackson,anger            ,0.01878632,Democratic,,,,,,
Andrew Jackson,anticipation     ,0.03460644,Democratic,,,,,,
Andrew Jackson,disgust           ,0.01068032,Democratic,,,,,,
Andrew Jackson,fear            ,0.02854509,Democratic,,,,,,
Andrew Jackson,joy          ,0.02827336,Democratic,,,,,,
Andrew Jackson,sadness          ,0.01580392,Democratic,,,,,,
Andrew Jackson,surprise      ,0.01414003,Democratic,,,,,,
Andrew Jackson,trust           ,0.05722634,Democratic,,,,,,
Andrew Jackson,negative       ,0.04280207,Democratic,,,,,,
Andrew Jackson,positive         ,0.08340666,Democratic,,,,,,
Harry S. Truman,anger            ,0.014512228,Democratic,,,,,,
Harry S. Truman,anticipation     ,0.025725612,Democratic,,,,,,
Harry S. Truman,disgust           ,0.009725479,Democratic,,,,,,
Harry S. Truman,fear            ,0.018279559,Democratic,,,,,,
Harry S. Truman,joy          ,0.022967986,Democratic,,,,,,
Harry S. Truman,sadness          ,0.012175093,Democratic,,,,,,
Harry S. Truman,surprise      ,0.008360924,Democratic,,,,,,
Harry S. Truman,trust           ,0.050016818,Democratic,,,,,,
Harry S. Truman,negative       ,0.028174481,Democratic,,,,,,
Harry S. Truman,positive         ,0.071805978,Democratic,,,,,,
John F. Kennedy,anger            ,0.017174473,Democratic,,,,,,
John F. Kennedy,anticipation     ,0.028671641,Democratic,,,,,,
John F. Kennedy,disgust           ,0.007253063,Democratic,,,,,,
John F. Kennedy,fear            ,0.02184124,Democratic,,,,,,
John F. Kennedy,joy          ,0.023575627,Democratic,,,,,,
John F. Kennedy,sadness          ,0.013287527,Democratic,,,,,,
John F. Kennedy,surprise      ,0.012416965,Democratic,,,,,,
John F. Kennedy,trust           ,0.050849293,Democratic,,,,,,
John F. Kennedy,negative       ,0.036090777,Democratic,,,,,,
John F. Kennedy,positive         ,0.078396175,Democratic,,,,,,
